model,method,image,deletion_auc,insertion_auc
resnet18,scorecam,7009-2.jpg,0.15412311255931854,0.3463246524333954
resnet18,scorecam,7009-202.jpg,0.22513683140277863,0.9125542044639587
resnet18,scorecam,7009-47.jpg,0.3440077602863312,0.9401248693466187
resnet18,scorecam,7009-75.jpg,0.261817991733551,0.8439814448356628
resnet18,scorecam,7009-95.jpg,0.10372970998287201,0.9692916870117188
resnet18,scorecam,7010-227.jpg,0.2896384596824646,0.7915698289871216
resnet18,scorecam,7010-62.jpg,0.30676862597465515,0.885364294052124
resnet18,scorecam,7010-82.jpg,0.16600820422172546,0.8427704572677612
resnet18,scorecam,7010-96.jpg,0.40932175517082214,0.8720288872718811
resnet18,scorecam,7010-97.jpg,0.16575837135314941,0.7046999931335449
resnet18,scorecam,7011-134.jpg,0.16484598815441132,0.8706570863723755
resnet18,scorecam,7011-142.jpg,0.07466308772563934,0.7115566730499268
resnet18,scorecam,7011-143.jpg,0.21095293760299683,0.8181849718093872
resnet18,scorecam,7011-171.jpg,0.05503322184085846,0.8421494364738464
resnet18,scorecam,7011-18.jpg,0.15303935110569,0.9071698188781738
resnet18,scorecam,7011-192.jpg,0.44382837414741516,0.8556512594223022
resnet18,scorecam,7011-204.jpg,0.33595582842826843,0.9460105895996094
resnet18,scorecam,7011-25.jpg,0.1893998235464096,0.8965708613395691
resnet18,scorecam,7012-103.jpg,0.11464954167604446,0.7609704732894897
resnet18,scorecam,7012-119.jpg,0.266060471534729,0.8797842860221863
resnet18,scorecam,7012-128.jpg,0.10736380517482758,0.806330144405365
resnet18,scorecam,7012-13.jpg,0.1838960200548172,0.8568863868713379
resnet18,scorecam,7012-49.jpg,0.3132583498954773,0.8621727228164673
resnet18,scorecam,7012-67.jpg,0.22912736237049103,0.8611050844192505
resnet18,scorecam,7013-150.jpg,0.31224963068962097,0.8809987306594849
resnet18,scorecam,7013-184.jpg,0.29354560375213623,0.9424717426300049
resnet18,scorecam,7013-81.jpg,0.17944268882274628,0.8237704038619995
resnet18,scorecam,7013-99.jpg,0.23148539662361145,0.8848881125450134
resnet18,scorecam,7014-222.jpg,0.2065698355436325,0.8524686694145203
resnet18,scorecam,7016-136.jpg,0.28902050852775574,0.8656937479972839
resnet18,scorecam,7016-204.jpg,0.16404509544372559,0.4053967595100403
resnet18,scorecam,7016-65.jpg,0.4053383767604828,0.9237514734268188
resnet18,scorecam,7017-130.jpg,0.28298336267471313,0.6774155497550964
mobilenetv3,gradcam++,7001-2.jpg,0.7074130177497864,0.9186033010482788
